"Genus"	"species"	"guild_fg"
"Armillaria"	"Armillaria_gallica"	"Wood Saprotroph"
"Armillaria"	"Armillaria_sinapina"	"Plant Pathogen"
"Schizophyllum"	"Schizophyllum_commune"	"Animal Pathogen-Endophyte-Wood Saprotroph"
"Amanita"	"Amanita_muscaria"	"Ectomycorrhizal"
"Amanita"	"Amanita_verna"	"Ectomycorrhizal"
"Amanita"	"Amanita_virosa"	"Ectomycorrhizal"
"Amanita"	"Amanita_sp."	"Ectomycorrhizal"
"Armillaria"	"Armillaria_mellea"	"Plant Pathogen-Wood Saprotroph"
"Armillaria"	"Armillariella_mellea"	"Plant Pathogen-Wood Saprotroph"
"Armillariella"	"Armillariella_sp."	"Plant Pathogen"
"Cantharellus"	"Cantharellus_sp."	"Ectomycorrhizal"
"Chalciporus"	"Chalciporus_piperatus"	"Fungal Parasite"
"Clitopilus"	"Clitopilus_prunulus"	"Undefined Saprotroph"
"Collybia"	"Collybia_sp."	"Fungal Parasite-Plant Pathogen"
"Cortinarius"	"Cortinarius_gentilis"	"Ectomycorrhizal"
"Cortinarius"	"Cortinarius_speciosissimus"	"Ectomycorrhizal"
"Cortinarius"	"Cortinarius_sp."	"Ectomycorrhizal"
"Entoloma"	"Entoloma_rhodopolium"	"Ectomycorrhizal"
"Rhodophyllus"	"Rhodophyllus_sp."	"Undefined Saprotroph"
"Fomitopsis"	"Fomitopsis_pinicola"	"Plant Pathogen-Wood Saprotroph"
"Gomphidius"	"Gomphidius_sp."	"Ectomycorrhizal-Fungal Parasite"
"Hydnellum"	"Hydnellum_sp."	"Ectomycorrhizal"
"Hygrophoropsis"	"Hygrophoropsis_aurantiaca"	"Wood Saprotroph"
"Hygrophorus"	"Hygrophorus_sp."	"Ectomycorrhizal"
"Hypholoma"	"Naematoloma_capnoides"	"Wood Saprotroph"
"Hypholoma"	"Hypholoma_capnoides"	"Wood Saprotroph"
"Hypholoma"	"Hypholoma_fasciculare"	"Wood Saprotroph"
"Hypholoma"	"Naematoloma_fasciculare"	"Wood Saprotroph"
"Inocybe"	"Inocybe_sp."	"Ectomycorrhizal"
"Lactarius"	"Lactarius_torminosus"	"Ectomycorrhizal"
"Lycoperdon"	"Lycoperdon_pyriforme"	"Wood Saprotroph"
"Mycena"	"Mycena_sp."	"Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph"
"Mycena"	"Mycena_pura"	"Litter Saprotroph"
"Paxillus"	"Paxillus_involutus"	"Ectomycorrhizal"
"Pleurocybella"	"Pleurocybella_porrigens"	"Undefined Saprotroph"
"Pluteus"	"Pluteus_cervinus"	"Leaf Saprotroph-Wood Saprotroph"
"Pluteus"	"Pluteus_sp."	"Bryophyte Parasite-Leaf Saprotroph-Wood Saprotroph"
"Polyporus"	"Polyporus_sp."	"Wood Saprotroph"
"Psathyrella"	"Psathyrella_sp."	"Wood Saprotroph"
"Russula"	"Russula_sp."	"Ectomycorrhizal"
"Tricholoma"	"Tricholoma_equestre"	"Ectomycorrhizal"
"Tricholoma"	"Tricholoma_flavovirens"	"Ectomycorrhizal"
"Chaetomium"	"Chaetomium_globosum"	"Dung Saprotroph-Endophyte-Wood Saprotroph"
"Cyberlindnera"	"Candida_utilis"	"Animal Pathogen"
"Daldinia"	"Daldinia_concentrica"	"Wood Saprotroph"
"Entoloma"	"Elaphomyces_sp."	"Ectomycorrhizal"
"Fusarium"	"Fusarium_culmorum"	"Plant Pathogen"
"Fusarium"	"Fusarium_oxysporum"	"Endophyte-Plant Pathogen-Wood Saprotroph"
"Gyromitra"	"Gyromitra_californica"	"Undefined Saprotroph"
"Kluyveromyces"	"Kluyveromyces_fragilis"	"Endophyte"
"Lunulospora"	"Lunulospora_curvula"	"Endophyte"
"Morchella"	"Morchella_esculenta"	"Undefined Saprotroph"
"Albifimbria"	"Myrothecium_verrucaria"	"Fungal Parasite-Soil Saprotroph-Undefined Saprotroph"
"Neonectria"	"Neonectria_sp."	"Plant Pathogen"
"Neurospora"	"Neurospora_crassa"	"Endophyte-Plant Pathogen-Undefined Saprotroph"
"Saccharomyces"	"Saccharomyces_cerevisiae"	"Undefined Saprotroph"
"Trichoderma"	"Trichoderma_harzianum"	"Endophyte-Fungal Parasite-Plant Pathogen"
"Yarrowia"	"Yarrowia_lipolytica"	"Undefined Saprotroph"
"Agaricus"	"Agaricus_arvensis"	"Soil Saprotroph"
"Agaricus"	"Agaricus_campestris"	"Soil Saprotroph"
"Amanita"	"Amanita_phalloides"	"Ectomycorrhizal"
"Coprinus"	"Coprinus_comatus"	"Soil Saprotroph"
"Entoloma"	"Entoloma_sinuatum"	"Ectomycorrhizal"
"Flammulina"	"Flammulina_velutipes"	"Plant Pathogen-Wood Saprotroph"
"Fomitopsis"	"Fomes_pinicola"	"Plant Pathogen-Wood Saprotroph"
"Grifola"	"Grifola_frondosa"	"Plant Pathogen-Wood Saprotroph"
"Guepiniopsis"	"Guepiniopsis_sp."	"Wood Saprotroph"
"Lepista"	"Lepista_nuda"	"Leaf Saprotroph"
"Pleurotus"	"Pleurotus_ostreatus"	"Endophyte-Plant Pathogen-Wood Saprotroph"
"Stropharia"	"Stropharia_coronilla"	"Soil Saprotroph"
"Tremella"	"Tremella_fuciformis"	"Fungal Parasite"
"Cunninghamella"	"Cunninghamella_sp."	"Undefined Saprotroph"
"Alternaria"	"Alternaria"	"Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph"
"Aspergillus"	"Aspergillus_niger"	"Plant Pathogen-Wood Saprotroph"
"Botrytis"	"Botrytis_allii"	"Plant Pathogen"
"Cladosporium"	"Cladosporium_cucumerinum"	"Plant Pathogen"
"Cladosporium"	"Cladosporium_herbarum"	"Plant Pathogen-Wood Saprotroph"
"Umbelopsis"	"Mortierella_ramanniana"	"Undefined Saprotroph"
"Mucor"	"Mucor_flavus"	"Animal Pathogen"
"Rhizopus"	"Mucor_mucedo"	"Endophyte-Plant Pathogen"
"Oidiodendron"	"Oidiodendron_rhodogenum"	"Ericoid Mycorrhizal"
"Thanatephorus"	"Rhizoctonia_solani"	"Endophyte-Plant Pathogen"
"Trichoderma"	"Trichoderma_virens"	"Endophyte"
"Trichoderma"	"Trichoderma_viride"	"Animal Pathogen"
"Trichothecium"	"Trichothecium_roseum"	"Plant Pathogen"
"Acephala"	"Acephala"	"Ectomycorrhizal"
"Afroboletus"	"Afroboletus"	"Ectomycorrhizal"
"Albatrellus"	"Albatrellus"	"Ectomycorrhizal"
"Peziza"	"Aleurina"	"Ectomycorrhizal"
"Naucoria"	"Alnicola"	"Ectomycorrhizal"
"Alpova"	"Alpova"	"Ectomycorrhizal"
"Agaricus"	"Amanita"	"Undefined Saprotroph"
"Amphinema"	"Amphinema"	"Ectomycorrhizal"
"Amylascus"	"Amylascus"	"Ectomycorrhizal"
"Anamika"	"Anamika"	"Ectomycorrhizal"
"Arcangeliella"	"Arcangeliella"	"Ectomycorrhizal"
"Astraeus"	"Astraeus"	"Ectomycorrhizal"
"Aureoboletus"	"Aureoboletus"	"Ectomycorrhizal"
"Auritella"	"Auritella"	"Ectomycorrhizal"
"Austrogautieria"	"Austrogautieria"	"Ectomycorrhizal"
"Austropaxillus"	"Austropaxillus"	"Ectomycorrhizal"
"Balsamia"	"Balsamia"	"Ectomycorrhizal"
"Bankera"	"Bankera"	"Ectomycorrhizal"
"Barssia"	"Barssia"	"Ectomycorrhizal"
"Boletellus"	"Boletellus"	"Ectomycorrhizal"
"Boletopsis"	"Boletopsis"	"Ectomycorrhizal"
"Morchella"	"Boletus"	"Wood Saprotroph"
"Byssocorticium"	"Byssocorticium"	"Ectomycorrhizal"
"Byssoporia"	"Byssoporia"	"Ectomycorrhizal"
"Cadophora"	"Cadophora"	"Endophyte"
"Calostoma"	"Calostoma"	"Ectomycorrhizal"
"Cantharellus"	"Cantharellus"	"Ectomycorrhizal"
"Castoreum"	"Castoreum"	"Ectomycorrhizal"
"Catathelasma"	"Catathelasma"	"Ectomycorrhizal"
"Cazia"	"Cazia"	"Ectomycorrhizal"
"Cenococcum"	"Cenococcum"	"Ectomycorrhizal"
"Ceratobasidium"	"Ceratobasidium"	"Ectomycorrhizal"
"Chamonixia"	"Chamonixia"	"Ectomycorrhizal"
"Choiromyces"	"Choiromyces"	"Ectomycorrhizal"
"Chondrogaster"	"Chondrogaster"	"Ectomycorrhizal"
"Chroogomphus"	"Chroogomphus"	"Ectomycorrhizal-Fungal Parasite"
"Clavariadelphus"	"Clavariadelphus"	"Ectomycorrhizal"
"Clavulina"	"Clavulina"	"Ectomycorrhizal"
"Coltricia"	"Coltricia"	"Ectomycorrhizal"
"Coltriciella"	"Coltriciella"	"Ectomycorrhizal"
"Cortinarius"	"Cortinarius"	"Ectomycorrhizal"
"Craterellus"	"Craterellus"	"Ectomycorrhizal"
"Delastria"	"Delastria"	"Ectomycorrhizal"
"Cortinarius"	"Dermocybe"	"Ectomycorrhizal"
"Descolea"	"Descolea"	"Ectomycorrhizal"
"Descomyces"	"Descomyces"	"Ectomycorrhizal"
"Dingleya"	"Dingleya"	"Ectomycorrhizal"
"Elaphomyces"	"Elaphomyces"	"Ectomycorrhizal"
"Endogone"	"Endogone"	"Ectomycorrhizal"
"Entoloma"	"Entoloma"	"Ectomycorrhizal-Undefined Saprotroph"
"Fischerula"	"Fischerula"	"Ectomycorrhizal"
"Peziza"	"Galactinia"	"Ectomycorrhizal"
"Gastroboletus"	"Gastroboletus"	"Ectomycorrhizal"
"Lactarius"	"Gastrolactarius"	"Ectomycorrhizal"
"Gautieria"	"Gautieria"	"Ectomycorrhizal"
"Genea"	"Genabea"	"Ectomycorrhizal"
"Genea"	"Genea"	"Ectomycorrhizal"
"Geopora"	"Geopora"	"Ectomycorrhizal"
"Gilkeya"	"Gilkeya"	"Ectomycorrhizal"
"Glischroderma"	"Glischroderma"	"Ectomycorrhizal"
"Gomphidius"	"Gomphidius"	"Ectomycorrhizal-Fungal Parasite"
"Gomphus"	"Gomphus"	"Ectomycorrhizal"
"Gummiglobus"	"Gummiglobus"	"Ectomycorrhizal"
"Gymnohydnotrya"	"Gymnohydnotrya"	"Ectomycorrhizal"
"Gymnomyces"	"Gymnomyces"	"Ectomycorrhizal"
"Gyrodon"	"Gyrodon"	"Ectomycorrhizal"
"Gyroporus"	"Gyroporus"	"Ectomycorrhizal"
"Hebeloma"	"Hebeloma"	"Ectomycorrhizal"
"Heimioporus"	"Heimioporus"	"Ectomycorrhizal"
"Helvella"	"Helvella"	"Ectomycorrhizal"
"Octospora"	"Humaria"	"Undefined Saprotroph"
"Hydnangium"	"Hydnangium"	"Ectomycorrhizal"
"Hydnellum"	"Hydnellum"	"Ectomycorrhizal"
"Hydnobolites"	"Hydnobolites"	"Ectomycorrhizal"
"Peziza"	"Hydnoplicata"	"Ectomycorrhizal"
"Hydnotrya"	"Hydnotrya"	"Ectomycorrhizal"
"Hydnotryopsis"	"Hydnotryopsis"	"Ectomycorrhizal"
"Hydnum"	"Hydnum"	"Ectomycorrhizal"
"Hygrophorus"	"Hygrophorus"	"Ectomycorrhizal"
"Hymenogaster"	"Hymenogaster"	"Ectomycorrhizal"
"Hysterangium"	"Hysterangium"	"Ectomycorrhizal"
"Inocybe"	"Inocybe"	"Ectomycorrhizal"
"Labyrinthomyces"	"Labyrinthomyces"	"Ectomycorrhizal"
"Laccaria"	"Laccaria"	"Ectomycorrhizal"
"Lactarius"	"Lactarius"	"Ectomycorrhizal"
"Leccinum"	"Leccinum"	"Ectomycorrhizal"
"Leucangium"	"Leucangium"	"Ectomycorrhizal"
"Leucogaster"	"Leucogaster"	"Ectomycorrhizal"
"Leucophleps"	"Leucophleps"	"Ectomycorrhizal"
"Lyophyllum"	"Lyophyllum"	"Ectomycorrhizal"
"Macowanites"	"Macowanites"	"Ectomycorrhizal"
"Russula"	"Martellia"	"Ectomycorrhizal"
"Melanogaster"	"Melanogaster"	"Ectomycorrhizal"
"Meliniomyces"	"Meliniomyces"	"Ectomycorrhizal-Endophyte-Ericoid Mycorrhizal-Litter Saprotroph-Orchid Mycorrhizal"
"Membranomyces"	"Membranomyces"	"Ectomycorrhizal"
"Mesophellia"	"Mesophellia"	"Ectomycorrhizal"
